Radius,Gravity,Pressure,Mass,Density
0.0,0.0,5.83266372915232,0.0,7000.0
100.0,-0.0,5.83266372915232,0.0,7000.0
200.0,-0.00014677552293498048,5.832663626409453,87964594300.5142,7000.0
300.0,-0.00032616782874440105,5.832663398091973,439822971502.57104,7000.0
400.0,-0.0005137143302724317,5.832663038491942,1231504320207.199,7000.0
500.0,-0.0007045225100879063,5.832662545326185,2638937829015.4263,7000.0
600.0,-0.0008969615290471029,5.832661917453114,4838052686528.281,7000.0
700.0,-0.0010903324560884264,5.832661154220395,8004778081346.793,7000.0
800.0,-0.001284285825681079,5.832660255220317,12315043202071.988,7000.0
900.0,-0.0014786274903079515,5.832659220181074,17944777237304.9,7000.0
1000.0,-0.0016732409614587773,5.832658048912402,25069909375646.547,7000.0
1100.0,-0.0018680521100815695,5.832656741275923,33866368805697.97,7000.0
1200.0,-0.0020630115168083366,5.832655297167862,44510084716060.19,7000.0
1300.0,-0.002258084968230469,5.832653716508384,57176986295334.234,7000.0
1400.0,-0.0024532480261989596,5.832651999234765,72043002732121.14,7000.0
1500.0,-0.002648482769404537,5.832650145296826,89284063215021.92,7000.0
1600.0,-0.002843775756865247,5.832648154653796,109076096932637.62,7000.0
1700.0,-0.003039116710183126,5.8326460272721,131595033073569.27,7000.0
1800.0,-0.0032344976350486446,5.832643763123754,157016800826417.88,7000.0
1900.0,-0.003429912220164807,5.832641362185201,185517329379784.47,7000.0
2000.0,-0.003625355416494018,5.832638824436409,217272547922270.1,7000.0
2100.0,-0.0038208231367201266,5.832636149860213,252458385642475.78,7000.0
2200.0,-0.004016312036675375,5.832633338441788,291250771729002.56,7000.0
2300.0,-0.004211819353786396,5.83263039016824,333825635370451.44,7000.0
2400.0,-0.00440734278590872,5.83262730502829,380358905755423.44,7000.0
2500.0,-0.0046028803992409885,5.832624083012011,431026512072519.6,7000.0
2600.0,-0.0047984305574897464,5.832620724110621,486004383510341.0,7000.0
2700.0,-0.0049939918667753855,5.832617228316313,545468449257488.6,7000.0
2800.0,-0.005189563132343953,5.832613595622121,609594638502563.5,7000.0
2900.0,-0.005385143324235147,5.832609826021795,678558880434166.6,7000.0
