Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
1800.0,-0.00322263421627458,5.647596196858266,156440898082639.97,7000.0,1698.59375,1848.59375,1998.59375,6974.538914852107
1900.0,-0.0034173481248595335,5.6475938134006025,184837761723969.8,7000.0,1698.515625,1848.515625,1998.515625,6974.5825605758355
2000.0,-0.0036120923668742986,5.647591294101196,216477675074497.62,7000.0,1698.4375,1848.4375,1998.4375,6974.626200356486
2100.0,-0.0038068628700296007,5.647588638940034,251535970166617.34,7000.0,1698.359375,1848.359375,1998.359375,6974.669834193186
2200.0,-0.004001656302397962,5.647585847899426,290187982314342.2,7000.0,1698.28125,1848.28125,1998.28125,6974.713462085159
2300.0,-0.004196469911465478,5.647582920963601,332609050112407.0,7000.0,1698.203125,1848.203125,1998.203125,6974.757084031717
2400.0,-0.004391301403420651,5.647579858118391,378974515435370.8,7000.0,1698.125,1848.125,1998.125,6974.800700032238
2500.0,-0.004586148851413914,5.647576659350969,429459723436719.44,7000.0,1698.046875,1848.046875,1998.046875,6974.844310086163
2600.0,-0.0047810106249880175,5.647573324649647,484240022547967.56,7000.0,1697.96875,1847.96875,1997.96875,6974.887914192981
2700.0,-0.004975885335190566,5.647569854003704,543490764477761.4,7000.0,1697.890625,1847.890625,1997.890625,6974.931512352221
2800.0,-0.005170771791448148,5.647566247403253,607387304210980.6,7000.0,1697.8125,1847.8125,1997.8125,6974.975104563451
2900.0,-0.005365668967363059,5.647562504839119,676105000007841.0,7000.0,1697.734375,1847.734375,1997.734375,6975.01869082627
3000.0,-0.005560575973350687,5.647558626302752,749819213402996.4,7000.0,1697.65625,1847.65625,1997.65625,6975.062271140305
3100.0,-0.005755492034572878,5.647554611786139,828705309204641.0,7000.0,1697.578125,1847.578125,1997.578125,6975.105845505202
3200.0,-0.005950416473008799,5.6475504612817415,912938655493611.4,7000.0,1697.5,1847.5,1997.5,6975.149413920635
3300.0,-0.006145348692785652,5.647546174782438,1002694623622488.8,7000.0,1697.421875,1847.421875,1997.421875,6975.19297638629
3400.0,-0.0063402881680980775,5.647541752281471,1098148588214701.0,7000.0,1697.34375,1847.34375,1997.34375,6975.236532901872
3500.0,-0.006535234433198513,5.647537193772413,1199475927163624.5,7000.0,1697.265625,1847.265625,1997.265625,6975.2800834671025
3600.0,-0.0067301870740558364,5.647532499249122,1306852021631686.5,7000.0,1697.1875,1847.1875,1997.1875,6975.323628081708
3700.0,-0.006925145721366659,5.647527668705712,1420452256049466.8,7000.0,1697.109375,1847.109375,1997.109375,6975.367166745434
3800.0,-0.007120110044670087,5.647522702136534,1540452018114799.5,7000.0,1697.03125,1847.03125,1997.03125,6975.4106994580325
3900.0,-0.007315079747367923,5.6475175995361395,1667026698791875.2,7000.0,1696.953125,1846.953125,1996.953125,6975.4542262192645
4000.0,-0.007510054562491825,5.647512360899271,1800351692310342.8,7000.0,1696.875,1846.875,1996.875,6975.497747028901
4100.0,-0.007705034249089904,5.647506986220838,1940602396164411.0,7000.0,1696.796875,1846.796875,1996.796875,6975.54126188672
4200.0,-0.007900018589129528,5.647501475495903,2087954211111950.5,7000.0,1696.71875,1846.71875,1996.71875,6975.584770792505
4300.0,-0.008095007384832303,5.647495828719664,2242582541173595.8,7000.0,1696.640625,1846.640625,1996.640625,6975.628273746044
4400.0,-0.008290000456372432,5.647490045887447,2404662793631846.0,7000.0,1696.5625,1846.5625,1996.5625,6975.671770747134
4500.0,-0.008484997639882,5.647484126994693,2574370379030168.0,7000.0,1696.484375,1846.484375,1996.484375,6975.715261795576
4600.0,-0.00867999878571641,5.647478072036948,2751880711172096.5,7000.0,1696.40625,1846.40625,1996.40625,6975.758746891175
4700.0,-0.00887500375694127,5.647471881009851,2937369207120337.0,7000.0,1696.328125,1846.328125,1996.328125,6975.802226033739
4800.0,-0.009070012428008405,5.647465553909133,3131011287195866.0,7000.0,1696.25,1846.25,1996.25,6975.845699223083
4900.0,-0.00926502468359401,5.647459090730601,3332982374977034.0,7000.0,1696.171875,1846.171875,1996.171875,6975.889166459022
5000.0,-0.009460040417576192,5.6474524914701405,3543457897298665.5,7000.0,1696.09375,1846.09375,1996.09375,6975.9326277413775
5100.0,-0.009655059532132844,5.647445756123703,3762613284251162.0,7000.0,1696.015625,1846.015625,1996.015625,6975.976083069971
5200.0,-0.009850081936943571,5.647438884687305,3990623969179602.5,7000.0,1695.9375,1845.9375,1995.9375,6976.019532444629
5300.0,-0.010045107548481988,5.647431877157018,4227665388682844.5,7000.0,1695.859375,1845.859375,1995.859375,6976.0629758651785
5400.0,-0.010240136289386643,5.6474247335289744,4473912982612626.5,7000.0,1695.78125,1845.78125,1995.78125,6976.106413331451
5500.0,-0.010435168087900563,5.647417453799351,4729542194072668.0,7000.0,1695.703125,1845.703125,1995.703125,6976.14984484328
5600.0,-0.010630202877370867,5.647410037964374,4994728469417773.0,7000.0,1695.625,1845.625,1995.625,6976.1932704005
5700.0,-0.010825240595801021,5.647402486020312,5269647258252928.0,7000.0,1695.546875,1845.546875,1995.546875,6976.236690002947
5800.0,-0.011020281185449439,5.647394797963474,5554474013432407.0,7000.0,1695.46875,1845.46875,1995.46875,6976.280103650461
5900.0,-0.01121532459246889,5.647386973790209,5849384191058869.0,7000.0,1695.390625,1845.390625,1995.390625,6976.323511342881
6000.0,-0.011410370766581971,5.647379013496901,6154553250482462.0,7000.0,1695.3125,1845.3125,1995.3125,6976.366913080048
6100.0,-0.011605419660788489,5.647370917079965,6470156654299922.0,7000.0,1695.234375,1845.234375,1995.234375,6976.410308861807
6200.0,-0.01180047123110118,5.647362684535849,6796369868353676.0,7000.0,1695.15625,1845.15625,1995.15625,6976.453698688001
6300.0,-0.011995525436306583,5.647354315861028,7133368361730943.0,7000.0,1695.078125,1845.078125,1995.078125,6976.497082558478
6400.0,-0.012190582237748332,5.647345811052006,7481327606762832.0,7000.0,1695.0,1845.0,1995.0,6976.540460473084
6500.0,-0.012385641599130458,5.647337170105312,7840423079023447.0,7000.0,1694.921875,1844.921875,1994.921875,6976.583832431666
6600.0,-0.012580703486338577,5.647328393017501,8210830257328986.0,7000.0,1694.84375,1844.84375,1994.84375,6976.627198434075
