Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
8300.0,-0.0159507857454641,5.6631269160503726,1.6463893292255744e+16,7000.0,1693.515625,1843.515625,1993.515625
8400.0,-0.0161464724079505,5.663115613519687,1.7069881382391986e+16,7000.0,1693.4375,1843.4375,1993.4375
8500.0,-0.0163421594006665,5.663104174008106,1.7690559559776414e+16,7000.0,1693.359375,1843.359375,1993.359375
8600.0,-0.0165378467120925,5.663092597515408,1.8326103753597628e+16,7000.0,1693.28125,1843.28125,1993.28125
8700.0,-0.0167335343312386,5.663080884041376,1.897668989304423e+16,7000.0,1693.203125,1843.203125,1993.203125
8800.0,-0.0169292222476142,5.663069033585803,1.9642493907304824e+16,7000.0,1693.125,1843.125,1993.125
8900.0,-0.0171249104512004,5.663057046148487,2.032369172556801e+16,7000.0,1693.046875,1843.046875,1993.046875
9000.0,-0.0173205989324235,5.6630449217292345,2.102045927702238e+16,7000.0,1692.96875,1842.96875,1992.96875
9100.0,-0.0175162876821306,5.663032660327857,2.1732972490856544e+16,7000.0,1692.890625,1842.890625,1992.890625
9200.0,-0.0177119766915668,5.6630202619441725,2.2461407296259104e+16,7000.0,1692.8125,1842.8125,1992.8125
9300.0,-0.0179076659523538,5.663007726578006,2.3205939622418656e+16,7000.0,1692.734375,1842.734375,1992.734375
9400.0,-0.0181033554564698,5.662995054229186,2.3966745398523804e+16,7000.0,1692.65625,1842.65625,1992.65625
9500.0,-0.0182990451962306,5.662982244897549,2.4744000553763148e+16,7000.0,1692.578125,1842.578125,1992.578125
9600.0,-0.0184947351642723,5.662969298582934,2.553788101732529e+16,7000.0,1692.5,1842.5,1992.5
9700.0,-0.0186904253535348,5.662956215285186,2.6348562718398828e+16,7000.0,1692.421875,1842.421875,1992.421875
9800.0,-0.0188861157572459,5.6629429950041565,2.717622158617237e+16,7000.0,1692.34375,1842.34375,1992.34375
9900.0,-0.0190818063689073,5.662929637739698,2.8021033549834508e+16,7000.0,1692.265625,1842.265625,1992.265625
10000.0,-0.0192774971822803,5.662916143491669,2.888317453857385e+16,7000.0,1692.1875,1842.1875,1992.1875
10100.0,-0.0194731881913736,5.662902512259936,2.976282048157899e+16,7000.0,1692.109375,1842.109375,1992.109375
10200.0,-0.0196688793904307,5.662888744044362,3.0660147308038536e+16,7000.0,1692.03125,1842.03125,1992.03125
10300.0,-0.0198645707739187,5.66287483884482,3.1575330947141084e+16,7000.0,1691.953125,1841.953125,1991.953125
10400.0,-0.0200602623365174,5.662860796661184,3.250854732807524e+16,7000.0,1691.875,1841.875,1991.875
10500.0,-0.0202559540731094,5.662846617493333,3.34599723800296e+16,7000.0,1691.796875,1841.796875,1991.796875
10600.0,-0.0204516459787704,5.6628323013411475,3.442978203219277e+16,7000.0,1691.71875,1841.71875,1991.71875
10700.0,-0.02064733804876,5.662817848204513,3.5418152213753344e+16,7000.0,1691.640625,1841.640625,1991.640625
10800.0,-0.0208430302785137,5.6628032580833185,3.642525885389993e+16,7000.0,1691.5625,1841.5625,1991.5625
10900.0,-0.0210387226636342,5.662788530977454,3.745127788182113e+16,7000.0,1691.484375,1841.484375,1991.484375
11000.0,-0.0212344151998843,5.662773666886814,3.849638522670554e+16,7000.0,1691.40625,1841.40625,1991.40625
11100.0,-0.0214301078831794,5.662758665811295,3.956075681774176e+16,7000.0,1691.328125,1841.328125,1991.328125
11200.0,-0.0216258007095807,5.662743527750799,4.064456858411839e+16,7000.0,1691.25,1841.25,1991.25
11300.0,-0.0218214936752891,5.662728252705227,4.174799645502404e+16,7000.0,1691.171875,1841.171875,1991.171875
