Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
2300.0,-0.00419649350812854,5.648479318715894,332610920366180.4,7000.0,1698.203125,1848.203125,1998.203125,6974.796301433379
2400.0,-0.004391326095500644,5.64847625583624,378976646391137.8,7000.0,1698.125,1848.125,1998.125,6974.839917432394
2500.0,-0.0045861746389902125,5.648473057032845,429462138257028.1,7000.0,1698.046875,1848.046875,1998.046875,6974.883527484745
2600.0,-0.004781037508130825,5.648469722294022,484242745381004.44,7000.0,1697.96875,1847.96875,1997.96875,6974.927131589921
2700.0,-0.004975913313962275,5.648466251609051,543493820457351.1,7000.0,1697.890625,1847.890625,1997.890625,6974.970729747455
2800.0,-0.005170800865904453,5.648462644968041,607390719456585.9,7000.0,1697.8125,1847.8125,1997.8125,6975.014321956911
2900.0,-0.00536569913755388,5.6484589023618215,676108801624562.0,7000.0,1697.734375,1847.734375,1997.734375,6975.057908217889
3000.0,-0.005560607239320942,5.648455023781838,749823429481570.9,7000.0,1697.65625,1847.65625,1997.65625,6975.101488530014
3100.0,-0.0057555243963631235,5.64845100922008,828709968821443.8,7000.0,1697.578125,1847.578125,1997.578125,6975.145062892937
3200.0,-0.005950449930655779,5.6484468586690095,912943788710654.0,7000.0,1697.5,1847.5,1997.5,6975.188631306328
3300.0,-0.006145383246322757,5.648442572121503,1002700261487419.5,7000.0,1697.421875,1847.421875,1997.421875,6975.232193769874
3400.0,-0.0063403238175557385,5.648438149570805,1098154762760804.1,7000.0,1697.34375,1847.34375,1997.34375,6975.275750283281
3500.0,-0.0065352711786045405,5.648433591010487,1199482671409820.2,7000.0,1697.265625,1847.265625,1997.265625,6975.319300846268
3600.0,-0.006730224915435712,5.648428896434405,1306859369582530.8,7000.0,1697.1875,1847.1875,1997.1875,6975.362845458564
3700.0,-0.0069251846587437835,5.648424065836678,1420460242695150.2,7000.0,1697.109375,1847.109375,1997.109375,6975.406384119913
3800.0,-0.007120150078066005,5.648419099211651,1540460679431148.0,7000.0,1697.03125,1847.03125,1997.03125,6975.449916830068
3900.0,-0.007315120876802506,5.64841399655388,1667036071740349.2,7000.0,1696.953125,1846.953125,1996.953125,6975.493443588791
4000.0,-0.007510096787983442,5.648408757858105,1800361814838036.8,7000.0,1696.875,1846.875,1996.875,6975.53696439585
4100.0,-0.007705077570655568,5.648403383119235,1940613307204053.0,7000.0,1696.796875,1846.796875,1996.796875,6975.580479251025
4200.0,-0.007900063006785028,5.648397872332334,2087965950581902.2,7000.0,1696.71875,1846.71875,1996.71875,6975.623988154099
4300.0,-0.008095052898592305,5.648392225492599,2242595149977851.5,7000.0,1696.640625,1846.640625,1996.640625,6975.66749110486
4400.0,-0.008290047066250597,5.648386442595358,2404676313660033.0,7000.0,1696.5625,1846.5625,1996.5625,6975.710988103106
4500.0,-0.00848504534589106,5.6483805236360505,2574384853157545.0,7000.0,1696.484375,1846.484375,1996.484375,6975.754479148635
4600.0,-0.00868004758786826,5.648374468610221,2751896183259554.5,7000.0,1696.40625,1846.40625,1996.40625,6975.7979642412565
4700.0,-0.008875053655247033,5.6483682775135104,2937385722014398.0,7000.0,1696.328125,1846.328125,1996.328125,6975.841443380775
4800.0,-0.009070063422478491,5.648361950341649,3131028890728682.5,7000.0,1696.25,1846.25,1996.25,6975.884916567006
4900.0,-0.00926507677423818,5.648355487090445,3333001113966389.0,7000.0,1696.171875,1846.171875,1996.171875,6975.9283837997655
5000.0,-0.009460093604403612,5.648348887755781,3543477819547972.0,7000.0,1696.09375,1846.09375,1996.09375,6975.971845078874
5100.0,-0.009655113815152123,5.64834215233361,3762634438549462.0,7000.0,1696.015625,1846.015625,1996.015625,6976.015300404154
5200.0,-0.009850137316162813,5.648335280819949,3990646405301567.0,7000.0,1695.9375,1845.9375,1995.9375,6976.058749775432
5300.0,-0.010045164023908823,5.648328273210872,4227689157388773.0,7000.0,1695.859375,1845.859375,1995.859375,6976.102193192534
5400.0,-0.010240193861028264,5.648321129502505,4473938135648446.0,7000.0,1695.78125,1845.78125,1995.78125,6976.145630655293
5500.0,-0.010435226755763765,5.6483138496910295,4729568784169934.0,7000.0,1695.703125,1845.703125,1995.703125,6976.189062163541
5600.0,-0.010630262641462059,5.648306433772671,4994756550293666.0,7000.0,1695.625,1845.625,1995.625,6976.232487717113
