Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
5400.0,-0.010240251570250507,5.649219667619365,4473963348793203.5,7000.0,1695.78125,1845.78125,1995.78125,6976.184941697906
5500.0,-0.010435285563827253,5.649212387725841,4729595437810324.0,7000.0,1695.703125,1845.703125,1995.703125,6976.2283732025635
5600.0,-0.010630322548373225,5.649204971723901,4994784698275240.0,7000.0,1695.625,1845.625,1995.625,6976.271798752479
5700.0,-0.010825362461891183,5.649197419609812,5269706581766546.0,7000.0,1695.546875,1845.546875,1995.546875,6976.315218347489
5800.0,-0.011020405246638892,5.6491897313798844,5554536543112122.0,7000.0,1695.46875,1845.46875,1995.46875,6976.358631987428
5900.0,-0.011215450848768512,5.649181907030467,5849450040388234.0,7000.0,1695.390625,1845.390625,1995.390625,6976.402039672142
6000.0,-0.011410499218002064,5.649173946557942,6154622534918633.0,7000.0,1695.3125,1845.3125,1995.3125,6976.445441401468
6100.0,-0.01160555030733883,5.649165849958725,6470229491273660.0,7000.0,1695.234375,1845.234375,1995.234375,6976.488837175252
6200.0,-0.011800604072791043,5.649157617229264,6796446377269343.0,7000.0,1695.15625,1845.15625,1995.15625,6976.5322269933395
6300.0,-0.011995660473144775,5.649149248366035,7133448663966501.0,7000.0,1695.078125,1845.078125,1995.078125,6976.575610855572
6400.0,-0.012190719469743221,5.649140743365541,7481411825669844.0,7000.0,1695.0,1845.0,1995.0,6976.618988761801
6500.0,-0.012385781026290003,5.649132102224311,7840511339927074.0,7000.0,1694.921875,1844.921875,1994.921875,6976.662360711873
6600.0,-0.012580845108670347,5.649123324938899,8210922687527985.0,7000.0,1694.84375,1844.84375,1994.84375,6976.705726705635
6700.0,-0.012775911684788272,5.649114411505881,8592821352503567.0,7000.0,1694.765625,1844.765625,1994.765625,6976.7490867429415
6800.0,-0.012970980724418157,5.649105361921854,8986382822125102.0,7000.0,1694.6875,1844.6875,1994.6875,6976.7924408236395
6900.0,-0.013166052199069205,5.649096176183435,9391782586903270.0,7000.0,1694.609375,1844.609375,1994.609375,6976.835788947584
7000.0,-0.01336112608186152,5.649086854287263,9809196140587246.0,7000.0,1694.53125,1844.53125,1994.53125,6976.879131114626
7100.0,-0.013556202347412666,5.64907739622999,1.0238798980163802e+16,7000.0,1694.453125,1844.453125,1994.453125,6976.92246732462
7200.0,-0.013751280971733683,5.649067802008289,1.0680766605856408e+16,7000.0,1694.375,1844.375,1994.375,6976.965797577421
7300.0,-0.013946361932133633,5.649058071618847,1.1135274521124334e+16,7000.0,1694.296875,1844.296875,1994.296875,6977.009121872884
7400.0,-0.014141445207131903,5.649048205058368,1.1602498232661748e+16,7000.0,1694.21875,1844.21875,1994.21875,6977.052440210863
7500.0,-0.014336530776377506,5.6490382023235695,1.2082613250396818e+16,7000.0,1694.140625,1844.140625,1994.140625,6977.095752591215
7600.0,-0.014531618620574779,5.6490280634111825,1.2575795087490812e+16,7000.0,1694.0625,1844.0625,1994.0625,6977.139059013798
7700.0,-0.014726708721414837,5.649017788317952,1.3082219260337202e+16,7000.0,1693.984375,1843.984375,1993.984375,6977.182359478469
7800.0,-0.01492180106151234,5.649007377040635,1.360206128856076e+16,7000.0,1693.90625,1843.90625,1993.90625,6977.225653985087
7900.0,-0.015116895624347006,5.648996829576,1.4135496695016658e+16,7000.0,1693.828125,1843.828125,1993.828125,6977.268942533508
8000.0,-0.015311992394209585,5.648986145920828,1.4682701005789574e+16,7000.0,1693.75,1843.75,1993.75,6977.312225123595
8100.0,-0.015507091356151763,5.648975326071909,1.5243849750192788e+16,7000.0,1693.671875,1843.671875,1993.671875,6977.355501755204
8200.0,-0.01570219249593978,5.648964370026045,1.5819118460767284e+16,7000.0,1693.59375,1843.59375,1993.59375,6977.398772428199
8300.0,-0.015897295800011375,5.648953277780046,1.6408682673280848e+16,7000.0,1693.515625,1843.515625,1993.515625,6977.442037142436
8400.0,-0.016092401255435825,5.648942049330732,1.7012717926727174e+16,7000.0,1693.4375,1843.4375,1993.4375,6977.485295897778
8500.0,-0.016287508849876783,5.648930684674934,1.7631399763324956e+16,7000.0,1693.359375,1843.359375,1993.359375,6977.5285486940875
8600.0,-0.016482618571557736,5.648919183809487,1.8264903728517e+16,7000.0,1693.28125,1843.28125,1993.28125,6977.571795531224
8700.0,-0.01667773040922981,5.648907546731239,1.8913405370969308e+16,7000.0,1693.203125,1843.203125,1993.203125,6977.61503640905
