Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
446600.0,-0.6257917926966912,4.750805587656039,1.8700859908687305e+21,3400.0,1528.543210898931,1671.5240723615875,1814.5049338242443,3407.693942513969
446700.0,-0.6257966758988758,4.7505928167862335,1.8709381608244047e+21,3400.0,1528.4696570957865,1671.4431531543344,1814.4166492128832,3407.6954799518694
446800.0,-0.6258016196391067,4.750380044235556,1.8717907124484008e+21,3400.0,1528.3961032926416,1671.3622339470814,1814.328364601522,3407.697017342145
446900.0,-0.6258066238632052,4.750167269983443,1.8726436458261696e+21,3400.0,1528.3225494894969,1671.2813147398283,1814.240079990161,3407.698554684214
447000.0,-0.6258116885170528,4.749954494009348,1.873496961043163e+21,3400.0,1528.248995686352,1671.2003955325754,1814.1517953787995,3407.700091977492
447100.0,-0.6258168135465921,4.749741716292742,1.874350658184832e+21,3400.0,1528.1754418832074,1671.1194763253225,1814.0635107674384,3407.7016292214
447200.0,-0.6258219988978255,4.749528936813116,1.8752047373366272e+21,3400.0,1528.1018880800627,1671.0385571180695,1813.975226156077,3407.703166415355
447300.0,-0.6258272445168164,4.74931615554998,1.8760591985840011e+21,3400.0,1528.028334276918,1670.9576379108166,1813.8869415447157,3407.704703558778
447400.0,-0.6258325503496879,4.749103372482861,1.8769140420124043e+21,3400.0,1527.954780473773,1670.8767187035637,1813.7986569333543,3407.7062406510872
447500.0,-0.6258379163426236,4.748890587591305,1.877769267707288e+21,3400.0,1527.8812266706286,1670.7957994963106,1813.7103723219932,3407.707777691705
447600.0,-0.6258433424418675,4.748677800854875,1.8786248757541048e+21,3400.0,1527.8076728674837,1670.7148802890576,1813.622087710632,3407.709314680051
447700.0,-0.6258488285937228,4.748465012253153,1.879480866238304e+21,3400.0,1527.7341190643392,1670.6339610818045,1813.5338030992707,3407.7108516155463
447800.0,-0.6258543747445534,4.748252221765739,1.8803372392453384e+21,3400.0,1527.6605652611945,1670.5530418745516,1813.4455184879096,3407.7123884976145
447900.0,-0.6258599808407829,4.748039429372254,1.881193994860659e+21,3400.0,1527.5870114580498,1670.472122667299,1813.3572338765484,3407.713925325678
448000.0,-0.6258656468288943,4.7478266350523315,1.882051133169717e+21,3400.0,1527.5134576549049,1670.3912034600455,1813.268949265187,3407.7154620991582
448100.0,-0.6258713726554309,4.74761383878563,1.8829086542579635e+21,3400.0,1527.4399038517604,1670.3102842527928,1813.180664653826,3407.7169988174796
448200.0,-0.6258771582669951,4.747401040551819,1.8837665582108503e+21,3400.0,1527.3663500486157,1670.2293650455397,1813.0923800424648,3407.7185354800667
448300.0,-0.6258830036102493,4.747188240330591,1.8846248451138283e+21,3400.0,1527.2927962454708,1670.1484458382868,1813.0040954311037,3407.7200720863434
448400.0,-0.625888908631915,4.746975438101656,1.8854835150523492e+21,3400.0,1527.219242442326,1670.0675266310336,1812.915810819742,3407.7216086357353
448500.0,-0.6258948732787734,4.746762633844741,1.886342568111864e+21,3400.0,1527.1456886391811,1669.9866074237807,1812.827526208381,3407.723145127667
448600.0,-0.6259008974976645,4.746549827539591,1.887202004377824e+21,3400.0,1527.0721348360366,1669.9056882165278,1812.7392415970196,3407.724681561566
448700.0,-0.6259069812354883,4.7463370191659715,1.888061823935681e+21,3400.0,1526.998581032892,1669.8247690092749,1812.6509569856585,3407.726217936858
448800.0,-0.6259131244392032,4.746124208703663,1.8889220268708856e+21,3400.0,1526.9250272297472,1669.743849802022,1812.562672374297,3407.7277542529714
448900.0,-0.6259193270558272,4.745911396132463,1.8897826132688896e+21,3400.0,1526.8514734266023,1669.662930594769,1812.474387762936,3407.729290509332
449000.0,-0.6259255890324372,4.745698581432193,1.8906435832151443e+21,3400.0,1526.7779196234578,1669.582011387516,1812.3861031515748,3407.7308267053695
449100.0,-0.6259319103161687,4.745485764582686,1.891504936795101e+21,3400.0,1526.704365820313,1669.501092180263,1812.2978185402137,3407.732362840511
449200.0,-0.6259382908542164,4.745272945563795,1.892366674094211e+21,3400.0,1526.6308120171684,1669.4201729730098,1812.2095339288524,3407.733898914187
449300.0,-0.6259447305938334,4.745060124355393,1.8932287951979256e+21,3400.0,1526.5572582140237,1669.339253765757,1812.121249317491,3407.735434925827
449400.0,-0.6259512294823317,4.744847300937369,1.894091300191696e+21,3400.0,1526.483704410879,1669.258334558504,1812.03296470613,3407.736970874862
449500.0,-0.6259577874670823,4.744634475289631,1.894954189160973e+21,3400.0,1526.410150607734,1669.177415351251,1811.9446800947685,3407.7385067607206
449600.0,-0.6259644044955138,4.744421647392103,1.8958174621912096e+21,3400.0,1526.3365968045896,1669.096496143998,1811.8563954834071,3407.740042582836
449700.0,-0.6259710805151142,4.7442088172247265,1.8966811193678556e+21,3400.0,1526.2630430014449,1669.0155769367452,1811.768110872046,3407.7415783406373
449800.0,-0.6259778154734289,4.743995984767466,1.8975451607763628e+21,3400.0,1526.1894891983002,1668.934657729492,1811.6798262606849,3407.7431140335602
449900.0,-0.6259846093180627,4.743783150000297,1.8984095865021824e+21,3400.0,1526.1159353951552,1668.8537385222392,1811.5915416493235,3407.744649661035
450000.0,-0.6259914619966775,4.743570312903218,1.8992743966307655e+21,3400.0,1526.0423815920103,1668.772819314986,1811.5032570379624,3407.7461852224956
450100.0,-0.6259983734569942,4.743357473456243,1.9001395912475644e+21,3400.0,1525.9688277888658,1668.691900107733,1811.4149724266013,3407.7477207173765
450200.0,-0.6260053436467913,4.743144631639402,1.9010051704380297e+21,3400.0,1525.8952739857211,1668.6109809004802,1811.32668781524,3407.749256145111
450300.0,-0.6260123725139053,4.742931787432748,1.9018711342876123e+21,3400.0,1525.8217201825764,1668.5300616932273,1811.2384032038788,3407.7507915051337
450400.0,-0.6260194600062308,4.742718940816347,1.9027374828817644e+21,3400.0,1525.7481663794315,1668.4491424859743,1811.1501185925176,3407.7523267968804
450500.0,-0.6260266060717201,4.742506091770282,1.9036042163059368e+21,3400.0,1525.674612576287,1668.3682232787214,1811.0618339811565,3407.7538620197874
450600.0,-0.6260338106583834,4.742293240274658,1.904471334645581e+21,3400.0,1525.6010587731423,1668.2873040714685,1810.973549369795,3407.7553971732896
450700.0,-0.6260410737142882,4.7420803863095955,1.905338837986148e+21,3400.0,1525.5275049699976,1668.2063848642151,1810.8852647584336,3407.7569322568243
450800.0,-0.62604839518756,4.741867529855231,1.9062067264130895e+21,3400.0,1525.453951166853,1668.1254656569622,1810.7969801470724,3407.7584672698285
450900.0,-0.6260557750263813,4.741654670891723,1.907075000011857e+21,3400.0,1525.3803973637082,1668.0445464497093,1810.7086955357113,3407.760002211741
451000.0,-0.6260632131789928,4.741441809399242,1.907943658867901e+21,3400.0,1525.3068435605633,1667.9636272424564,1810.62041092435,3407.7615370819985
451100.0,-0.626070709593692,4.74122894535798,1.908812703066674e+21,3400.0,1525.2332897574188,1667.8827080352034,1810.5321263129888,3407.763071880041
451200.0,-0.626078264218834,4.741016078748145,1.909682132693626e+21,3400.0,1525.159735954274,1667.8017888279503,1810.4438417016272,3407.764606605307
451300.0,-0.6260858770028305,4.740803209549964,1.910551947834209e+21,3400.0,1525.0861821511294,1667.7208696206974,1810.3555570902663,3407.766141257237
451400.0,-0.6260935478941512,4.74059033774368,1.911422148573875e+21,3400.0,1525.0126283479844,1667.6399504134445,1810.2672724789052,3407.76767583527
451500.0,-0.6261012768413223,4.740377463309554,1.912292734998074e+21,3400.0,1524.9390745448395,1667.559031206191,1810.178987867544,3407.769210338848
451600.0,-0.6261090637929272,4.7401645862278645,1.9131637071922583e+21,3400.0,1524.865520741695,1667.4781119989384,1810.090703256183,3407.7707447674115
451700.0,-0.6261169086976061,4.739951706478907,1.914035065241879e+21,3400.0,1524.7919669385503,1667.3971927916857,1810.002418644821,3407.772279120403
451800.0,-0.626124811504056,4.739738824042996,1.9149068092323867e+21,3400.0,1524.7184131354056,1667.3162735844326,1809.91413403346,3407.7738133972634
451900.0,-0.6261327721610307,4.73952593890046,1.9157789392492335e+21,3400.0,1524.644859332261,1667.2353543771796,1809.8258494220988,3407.775347597437
452000.0,-0.626140790617341,4.73931305103165,1.9166514553778707e+21,3400.0,1524.5713055291162,1667.1544351699267,1809.7375648107377,3407.776881720365
452100.0,-0.6261488668218536,4.739100160416931,1.917524357703749e+21,3400.0,1524.4977517259715,1667.0735159626736,1809.6492801993763,3407.778415765493
452200.0,-0.6261570007234923,4.738887267036685,1.9183976463123208e+21,3400.0,1524.4241979228268,1666.992596755421,1809.5609955880152,3407.779949732264
452300.0,-0.6261651922712373,4.738674370871313,1.9192713212890364e+21,3400.0,1524.350644119682,1666.9116775481675,1809.4727109766536,3407.781483620123
452400.0,-0.6261734414141251,4.738461471901233,1.9201453827193475e+21,3400.0,1524.2770903165374,1666.8307583409146,1809.3844263652927,3407.7830174285154
452500.0,-0.6261817481012484,4.738248570106879,1.9210198306887057e+21,3400.0,1524.2035365133925,1666.7498391336617,1809.2961417539316,3407.784551156887
452600.0,-0.6261901122817564,4.738035665468702,1.9218946652825615e+21,3400.0,1524.129982710248,1666.6689199264088,1809.2078571425704,3407.786084804684
452700.0,-0.6261985339048539,4.737822757967175,1.922769886586367e+21,3400.0,1524.056428907103,1666.5880007191558,1809.119572531209,3407.787618371352
452800.0,-0.6262070129198026,4.737609847582782,1.9236454946855736e+21,3400.0,1523.9828751039586,1666.507081511903,1809.0312879198475,3407.7891518563392
452900.0,-0.6262155492759195,4.7373969342960285,1.924521489665632e+21,3400.0,1523.9093213008136,1666.4261623046498,1808.9430033084864,3407.7906852590922
453000.0,-0.626224142922578,4.737184018087435,1.925397871611994e+21,3400.0,1523.8357674976692,1666.3452430973969,1808.8547186971252,3407.792218579061
453100.0,-0.626232793809207,4.73697109893754,1.9262746406101107e+21,3400.0,1523.7622136945242,1666.2643238901435,1808.766434085764,3407.7937518156914
453200.0,-0.6262415018852914,4.7367581768269,1.9271517967454335e+21,3400.0,1523.6886598913795,1666.1834046828908,1808.6781494744027,3407.795284968435
453300.0,-0.6262502671003718,4.736545251736085,1.9280293401034136e+21,3400.0,1523.6151060882348,1666.102485475638,1808.5898648630416,3407.7968180367398
453400.0,-0.6262590894040444,4.736332323645687,1.9289072707695023e+21,3400.0,1523.54155228509,1666.021566268385,1808.5015802516805,3407.798351020057
453500.0,-0.626267968745961,4.736119392536313,1.9297855888291513e+21,3400.0,1523.4679984819454,1665.940647061132,1808.4132956403191,3407.799883917836
453600.0,-0.626276905075829,4.735906458388587,1.9306642943678116e+21,3400.0,1523.3944446788007,1665.859727853879,1808.325011028958,3407.8014167295287
453700.0,-0.6262858983434109,4.73569352118315,1.9315433874709343e+21,3400.0,1523.320890875656,1665.778808646626,1808.2367264175969,3407.802949454586
453800.0,-0.6262949484985247,4.735480580900661,1.9324228682239716e+21,3400.0,1523.2473370725113,1665.6978894393728,1808.1484418062355,3407.8044820924606
453900.0,-0.6263040554910437,4.735267637521793,1.9333027367123736e+21,3400.0,1523.1737832693666,1665.61697023212,1808.060157194874,3407.8060146426033
454000.0,-0.6263132192708967,4.7350546910272415,1.9341829930215924e+21,3400.0,1523.1002294662217,1665.536051024867,1807.971872583513,3407.8075471044694
454100.0,-0.626322439788067,4.734841741397713,1.9350636372370792e+21,3400.0,1523.0266756630772,1665.455131817614,1807.8835879721516,3407.809079477511
454200.0,-0.6263317169925934,4.734628788613937,1.9359446694442851e+21,3400.0,1522.9531218599325,1665.3742126103612,1807.7953033607905,3407.8106117611824
454300.0,-0.6263410508345696,4.734415832656652,1.9368260897286615e+21,3400.0,1522.8795680567878,1665.2932934031082,1807.7070187494292,3407.8121439549373
454400.0,-0.6263504412641442,4.734202873506622,1.93770789817566e+21,3400.0,1522.8060142536428,1665.212374195855,1807.618734138068,3407.8136760582315
454500.0,-0.6263598882315206,4.733989911144624,1.938590094870732e+21,3400.0,1522.7324604504984,1665.1314549886022,1807.530449526707,3407.8152080705195
454600.0,-0.6263693916869568,4.733776945551449,1.9394726798993284e+21,3400.0,1522.6589066473534,1665.050535781349,1807.4421649153455,3407.816739991258
454700.0,-0.626378951580766,4.733563976707912,1.9403556533469008e+21,3400.0,1522.585352844209,1664.969616574096,1807.353880303984,3407.8182718199027
454800.0,-0.6263885678633154,4.733351004594839,1.9412390152989e+21,3400.0,1522.511799041064,1664.8886973668432,1807.265595692623,3407.81980355591
454900.0,-0.6263982404850271,4.733138029193074,1.9421227658407775e+21,3400.0,1522.438245237919,1664.8077781595905,1807.177311081262,3407.821335198739
