Radius,Gravity,Pressure,Mass,Density
0.0,0.0,5.508555088206205,0.0,7000.0
100.0,-0.0,5.508555088206205,0.0,7000.0
200.0,-0.00014677552293498048,5.508554985463339,87964594300.5142,7000.0
300.0,-0.00032616782874440105,5.508554757145859,439822971502.57104,7000.0
400.0,-0.0005137143302724317,5.5085543975458275,1231504320207.199,7000.0
500.0,-0.0007045225100879063,5.50855390438007,2638937829015.4263,7000.0
600.0,-0.0008969615290471029,5.5085532765069996,4838052686528.281,7000.0
700.0,-0.0010903324560884264,5.508552513274281,8004778081346.793,7000.0
800.0,-0.001284285825681079,5.508551614274202,12315043202071.988,7000.0
900.0,-0.0014786274903079515,5.508550579234959,17944777237304.9,7000.0
1000.0,-0.0016732409614587773,5.508549407966287,25069909375646.547,7000.0
1100.0,-0.0018680521100815695,5.50854810032981,33866368805697.97,7000.0
1200.0,-0.0020630115168083366,5.508546656221747,44510084716060.19,7000.0
1300.0,-0.002258084968230469,5.508545075562269,57176986295334.234,7000.0
1400.0,-0.0024532480261989596,5.508543358288651,72043002732121.14,7000.0
1500.0,-0.002648482769404537,5.5085415043507115,89284063215021.92,7000.0
1600.0,-0.002843775756865247,5.508539513707682,109076096932637.62,7000.0
1700.0,-0.003039116710183126,5.508537386325985,131595033073569.27,7000.0
1800.0,-0.0032344976350486446,5.50853512217764,157016800826417.88,7000.0
1900.0,-0.003429912220164807,5.508532721239086,185517329379784.47,7000.0
2000.0,-0.003625355416494018,5.508530183490294,217272547922270.1,7000.0
2100.0,-0.0038208231367201266,5.508527508914098,252458385642475.78,7000.0
2200.0,-0.004016312036675375,5.508524697495673,291250771729002.56,7000.0
2300.0,-0.004211819353786396,5.508521749222125,333825635370451.44,7000.0
2400.0,-0.00440734278590872,5.5085186640821755,380358905755423.44,7000.0
2500.0,-0.0046028803992409885,5.508515442065896,431026512072519.6,7000.0
2600.0,-0.0047984305574897464,5.508512083164506,486004383510341.0,7000.0
2700.0,-0.0049939918667753855,5.5085085873701995,545468449257488.6,7000.0
2800.0,-0.005189563132343953,5.508504954676006,609594638502563.5,7000.0
2900.0,-0.005385143324235147,5.50850118507568,678558880434166.6,7000.0
3000.0,-0.005580731549816703,5.508497278563595,752537104240899.1,7000.0
3100.0,-0.005776327031634716,5.508493235134673,831705239111361.9,7000.0
3200.0,-0.005971929089417019,5.50848905478431,916239214234156.0,7000.0
3300.0,-0.006167537125348674,5.508484737508323,1006314958797882.5,7000.0
3400.0,-0.006363150611945919,5.5084802833028945,1102108401991142.5,7000.0
3500.0,-0.006558769082008842,5.508475692164537,1203795473002537.0,7000.0
3600.0,-0.006754392120248639,5.508470964090054,1311552101020667.0,7000.0
3700.0,-0.00695001935627259,5.508466099076504,1425554215234133.5,7000.0
3800.0,-0.0071456504586766825,5.508461097121183,1545977744831537.5,7000.0
3900.0,-0.007341285130047059,5.508455958221591,1672998619001480.0,7000.0
4000.0,-0.007536923102711248,5.508450682375418,1806792766932562.0,7000.0
4100.0,-0.007732564135111167,5.508445269580524,1947536117813384.8,7000.0
4200.0,-0.007928208008694263,5.508439719834918,2095404600832549.0,7000.0
4300.0,-0.008123854525238455,5.5084340331367505,2250574145178656.0,7000.0
4400.0,-0.00831950350454185,5.508428209484297,2413220680040307.0,7000.0
4500.0,-0.008515154782420499,5.508422248875949,2583520134606102.5,7000.0
4600.0,-0.008710808208967321,5.508416151310203,2761648438064644.0,7000.0
4700.0,-0.008906463647033284,5.5084099167856495,2947781519604532.0,7000.0
4800.0,-0.009102120970898445,5.50840354530097,3142095308414368.0,7000.0
4900.0,-0.009297780065105704,5.508397036854924,3344765733682753.0,7000.0
5000.0,-0.009493440823434538,5.508390391446349,3555968724598287.5,7000.0
5100.0,-0.009689103147995445,5.508383609074144,3775880210349573.0,7000.0
5200.0,-0.009884766948428879,5.508376689737281,4004676120125210.5,7000.0
