Radius,Gravity,Pressure,Mass,Density
0.0,0.0,5.64453965014697,0.0,7000.0
100.0,-0.0,5.64453965014697,0.0,7000.0
200.0,-0.00014677552293498048,5.644539547404103,87964594300.5142,7000.0
300.0,-0.00032616782874440105,5.644539319086623,439822971502.57104,7000.0
400.0,-0.0005137143302724317,5.644538959486592,1231504320207.199,7000.0
500.0,-0.0007045225100879063,5.644538466320835,2638937829015.4263,7000.0
600.0,-0.0008969615290471029,5.644537838447764,4838052686528.281,7000.0
700.0,-0.0010903324560884264,5.6445370752150446,8004778081346.793,7000.0
800.0,-0.001284285825681079,5.644536176214967,12315043202071.988,7000.0
900.0,-0.0014786274903079515,5.644535141175724,17944777237304.9,7000.0
1000.0,-0.0016732409614587773,5.644533969907051,25069909375646.547,7000.0
1100.0,-0.0018680521100815695,5.644532662270573,33866368805697.97,7000.0
1200.0,-0.0020630115168083366,5.644531218162512,44510084716060.19,7000.0
1300.0,-0.002258084968230469,5.644529637503034,57176986295334.234,7000.0
1400.0,-0.0024532480261989596,5.6445279202294145,72043002732121.14,7000.0
1500.0,-0.002648482769404537,5.644526066291476,89284063215021.92,7000.0
1600.0,-0.002843775756865247,5.644524075648446,109076096932637.62,7000.0
1700.0,-0.003039116710183126,5.64452194826675,131595033073569.27,7000.0
1800.0,-0.0032344976350486446,5.644519684118404,157016800826417.88,7000.0
1900.0,-0.003429912220164807,5.644517283179851,185517329379784.47,7000.0
2000.0,-0.003625355416494018,5.644514745431059,217272547922270.1,7000.0
2100.0,-0.0038208231367201266,5.644512070854863,252458385642475.78,7000.0
2200.0,-0.004016312036675375,5.644509259436438,291250771729002.56,7000.0
2300.0,-0.004211819353786396,5.64450631116289,333825635370451.44,7000.0
2400.0,-0.00440734278590872,5.644503226022939,380358905755423.44,7000.0
2500.0,-0.0046028803992409885,5.644500004006661,431026512072519.6,7000.0
2600.0,-0.0047984305574897464,5.644496645105271,486004383510341.0,7000.0
2700.0,-0.0049939918667753855,5.644493149310963,545468449257488.6,7000.0
2800.0,-0.005189563132343953,5.644489516616771,609594638502563.5,7000.0
2900.0,-0.005385143324235147,5.644485747016444,678558880434166.6,7000.0
3000.0,-0.005580731549816703,5.644481840504359,752537104240899.1,7000.0
3100.0,-0.005776327031634716,5.644477797075438,831705239111361.9,7000.0
3200.0,-0.005971929089417019,5.644473616725075,916239214234156.0,7000.0
3300.0,-0.006167537125348674,5.644469299449087,1006314958797882.5,7000.0
3400.0,-0.006363150611945919,5.644464845243659,1102108401991142.5,7000.0
3500.0,-0.006558769082008842,5.644460254105302,1203795473002537.0,7000.0
3600.0,-0.006754392120248639,5.644455526030818,1311552101020667.0,7000.0
3700.0,-0.00695001935627259,5.6444506610172684,1425554215234133.5,7000.0
3800.0,-0.0071456504586766825,5.6444456590619465,1545977744831537.5,7000.0
3900.0,-0.007341285130047059,5.644440520162355,1672998619001480.0,7000.0
4000.0,-0.007536923102711248,5.644435244316183,1806792766932562.0,7000.0
4100.0,-0.007732564135111167,5.644429831521289,1947536117813384.8,7000.0
4200.0,-0.007928208008694263,5.644424281775683,2095404600832549.0,7000.0
4300.0,-0.008123854525238455,5.644418595077514,2250574145178656.0,7000.0
4400.0,-0.00831950350454185,5.644412771425062,2413220680040307.0,7000.0
4500.0,-0.008515154782420499,5.644406810816713,2583520134606102.5,7000.0
4600.0,-0.008710808208967321,5.644400713250967,2761648438064644.0,7000.0
4700.0,-0.008906463647033284,5.644394478726413,2947781519604532.0,7000.0
4800.0,-0.009102120970898445,5.644388107241735,3142095308414368.0,7000.0
4900.0,-0.009297780065105704,5.644381598795689,3344765733682753.0,7000.0
5000.0,-0.009493440823434538,5.644374953387112,3555968724598287.5,7000.0
5100.0,-0.009689103147995445,5.644368171014909,3775880210349573.0,7000.0
5200.0,-0.009884766948428879,5.6443612516780455,4004676120125210.5,7000.0
5300.0,-0.010080432141194888,5.644354195375547,4242532383113801.0,7000.0
5400.0,-0.01027609864894166,5.644347002106492,4489624928503945.5,7000.0
5500.0,-0.010471766399942973,5.6443396718700125,4746129685484245.0,7000.0
5600.0,-0.010667435327595903,5.644332204665283,5012222583243300.0,7000.0
5700.0,-0.010863105369971423,5.644324600491525,5288079550969713.0,7000.0
5800.0,-0.011058776469411462,5.644316859347995,5573876517852084.0,7000.0
5900.0,-0.01125444857216698,5.644308981233995,5869789413079014.0,7000.0
6000.0,-0.011450121628072202,5.644300966148856,6175994165839104.0,7000.0
6100.0,-0.011645795590250913,5.644292814091942,6492666705320955.0,7000.0
6200.0,-0.011841470414851169,5.644284525062653,6819982960713168.0,7000.0
6300.0,-0.01203714606080528,5.64427609906041,7158118861204345.0,7000.0
6400.0,-0.012232822489612282,5.644267536084668,7507250335983086.0,7000.0
6500.0,-0.012428499665140503,5.644258836134903,7867553314237992.0,7000.0
6600.0,-0.012624177553448072,5.644249999210615,8239203725157665.0,7000.0
6700.0,-0.012819856122619492,5.644241025311329,8622377497930705.0,7000.0
6800.0,-0.013015535342616654,5.644231914436589,9017250561745714.0,7000.0
6900.0,-0.013211215185142788,5.64422266658596,9423998845791292.0,7000.0
7000.0,-0.013406895623518078,5.644213281759023,9842798279256040.0,7000.0
7100.0,-0.0136025766325658,5.64420375995538,1.027382479132856e+16,7000.0
7200.0,-0.013798258188507937,5.644194101174647,1.0717254311197452e+16,7000.0
7300.0,-0.013993940268869376,5.644184305416459,1.1173262768051318e+16,7000.0
7400.0,-0.014189622852389873,5.644174372680463,1.1642026091078758e+16,7000.0
7500.0,-0.014385305918943068,5.64416430296632,1.2123720209468374e+16,7000.0
7600.0,-0.01458098944946188,5.644154096273706,1.2618521052408766e+16,7000.0
7700.0,-0.014776673425869725,5.644143752602307,1.3126604549088536e+16,7000.0
7800.0,-0.014972357831017028,5.644133271951826,1.3648146628696284e+16,7000.0
7900.0,-0.01516804264862254,5.644122654321971,1.4183323220420612e+16,7000.0
8000.0,-0.015363727863219085,5.644111899712466,1.4732310253450122e+16,7000.0
8100.0,-0.015559413460103281,5.644101008123044,1.5295283656973412e+16,7000.0
8200.0,-0.015755099425289004,5.6440899795534465,1.5872419360179086e+16,7000.0
8300.0,-0.015950785745464147,5.644078814003425,1.6463893292255744e+16,7000.0
8400.0,-0.016146472407950512,5.644067511472739,1.7069881382391986e+16,7000.0
8500.0,-0.016342159400666537,5.644056071961159,1.7690559559776414e+16,7000.0
8600.0,-0.01653784671209257,5.64404449546846,1.8326103753597628e+16,7000.0
8700.0,-0.016733534331238618,5.6440327819944285,1.897668989304423e+16,7000.0
8800.0,-0.01692922224761423,5.644020931538855,1.9642493907304824e+16,7000.0
8900.0,-0.01712491045120042,5.6440089441015395,2.032369172556801e+16,7000.0
9000.0,-0.017320598932423513,5.643996819682287,2.102045927702238e+16,7000.0
9100.0,-0.01751628768213064,5.643984558280909,2.1732972490856544e+16,7000.0
9200.0,-0.017711976691566888,5.643972159897225,2.2461407296259104e+16,7000.0
9300.0,-0.017907665952353893,5.643959624531059,2.3205939622418656e+16,7000.0
9400.0,-0.01810335545646983,5.6439469521822385,2.3966745398523804e+16,7000.0
9500.0,-0.018299045196230622,5.643934142850601,2.4744000553763148e+16,7000.0
9600.0,-0.01849473516427237,5.643921196535986,2.553788101732529e+16,7000.0
9700.0,-0.018690425353534837,5.643908113238238,2.6348562718398828e+16,7000.0
9800.0,-0.018886115757245962,5.643894892957209,2.717622158617237e+16,7000.0
9900.0,-0.0190818063689073,5.64388153569275,2.8021033549834508e+16,7000.0
10000.0,-0.01927749718228034,5.643868041444722,2.888317453857385e+16,7000.0
10100.0,-0.019473188191373655,5.643854410212988,2.976282048157899e+16,7000.0
10200.0,-0.019668879390430757,5.643840641997414,3.0660147308038536e+16,7000.0
10300.0,-0.019864570773918722,5.643826736797872,3.1575330947141084e+16,7000.0
10400.0,-0.020060262336517434,5.643812694614237,3.250854732807524e+16,7000.0
10500.0,-0.02025595407310944,5.6437985154463854,3.34599723800296e+16,7000.0
10600.0,-0.0204516459787704,5.6437841992942,3.442978203219277e+16,7000.0
10700.0,-0.02064733804876006,5.643769746157566,3.5418152213753344e+16,7000.0
10800.0,-0.020843030278513742,5.643755156036371,3.642525885389993e+16,7000.0
10900.0,-0.02103872266363427,5.643740428930506,3.745127788182113e+16,7000.0
11000.0,-0.02123441519988436,5.643725564839866,3.849638522670554e+16,7000.0
11100.0,-0.021430107883179433,5.643710563764348,3.956075681774176e+16,7000.0
11200.0,-0.021625800709580784,5.643695425703852,4.064456858411839e+16,7000.0
11300.0,-0.021821493675289134,5.643680150658279,4.174799645502404e+16,7000.0
11400.0,-0.0220171867766385,5.643664738627536,4.2871216359647304e+16,7000.0
11500.0,-0.022212880010090433,5.643649189611528,4.401440422717678e+16,7000.0
11600.0,-0.022408573372228482,5.643633503610167,4.517773598680109e+16,7000.0
11700.0,-0.022604266859753003,5.6436176806233656,4.636138756770881e+16,7000.0
11800.0,-0.022799960469476202,5.643601720651037,4.756553489908854e+16,7000.0
11900.0,-0.022995654198317443,5.643585623693098,4.8790353910128904e+16,7000.0
12000.0,-0.023191348043298775,5.643569389749468,5.003602053001849e+16,7000.0
12100.0,-0.02338704200154069,5.643553018820066,5.1302710687945896e+16,7000.0
12200.0,-0.023582736070258094,5.643536510904817,5.259060031309973e+16,7000.0
12300.0,-0.023778430246756462,5.643519866003645,5.3899865334668584e+16,7000.0
12400.0,-0.023974124528428186,5.6435030841164755,5.5230681681841064e+16,7000.0
12500.0,-0.024169818912749108,5.643486165243236,5.658322528380577e+16,7000.0
12600.0,-0.0243655133972752,5.643469109383859,5.7957672069751304e+16,7000.0
12700.0,-0.024561207979639413,5.643451916538273,5.9354197968866264e+16,7000.0
12800.0,-0.024756902657548662,5.643434586706412,6.0772978910339256e+16,7000.0
12900.0,-0.02495259742878097,5.643417119888213,6.221419082335888e+16,7000.0
13000.0,-0.025148292291182733,5.643399516083608,6.3678009637113736e+16,7000.0
13100.0,-0.02534398724266609,5.643381775292538,6.5164611280792424e+16,7000.0
13200.0,-0.025539682281206476,5.643363897514942,6.667417168358355e+16,7000.0
13300.0,-0.025735377404840186,5.643345882750759,6.820686677467571e+16,7000.0
13400.0,-0.025931072611662144,5.643327730999931,6.97628724832575e+16,7000.0
13500.0,-0.02612676789982373,5.643309442262401,7.134236473851754e+16,7000.0
