,Radius,Mass,Gravity,Pressure,Density
0,0.0,0.0,0.0,5.605803736095842,8000
1,1000.0,0.0,-0.0,5.605803736095842,8000
2,2000.0,100530964914873.38,-0.0016774345478283482,5.60579031661946,8000
3,3000.0,502654824574366.9,-0.0037276323285074403,5.6057604955608324,8000
4,4000.0,1407433508808227.2,-0.0058710209173992185,5.605713527393493,8000
5,5000.0,3015928947446201.0,-0.00805168582957607,5.605649113906857,8000
6,6000.0,5529203070318036.0,-0.010250988903395463,5.605567105995629,8000
7,7000.0,9148317807253478.0,-0.012460942355296304,5.605467418456787,8000
8,8000.0,1.4074335088082274e+16,-0.014677552293498049,5.605349998038439,8000
9,9000.0,2.050831684263417e+16,-0.016898599889233732,5.605214809239325,8000
10,10000.0,2.865132500073891e+16,-0.01912275384524317,5.605061827208563,8000
11,11000.0,3.870442149222625e+16,-0.021349166972360795,5.604891033872784,8000
12,12000.0,5.086866824692593e+16,-0.02357727447780956,5.604702415676961,8000
13,13000.0,6.53451271946677e+16,-0.025806685351205363,5.604495962194151,8000
14,14000.0,8.23348602652813e+16,-0.02803712029941668,5.604271665231756,8000
15,15000.0,1.0203892938859648e+17,-0.030268374507480416,5.604029518235696,8000
16,16000.0,1.2465839649444299e+17,-0.03250029436417425,5.603769515880782,8000
17,17000.0,1.5039432351265056e+17,-0.03473276240209286,5.603491653781566,8000
18,18000.0,1.7944777237304896e+17,-0.03696568725769878,5.603195928283505,8000
19,19000.0,2.1201980500546794e+17,-0.039198996801883504,5.60288233630909,8000
20,20000.0,2.483114833397372e+17,-0.0414326333313602,5.602550875242438,8000
21,21000.0,2.885238693056866e+17,-0.0436665501339443,5.6022015428413665,8000
22,22000.0,3.328580248331457e+17,-0.04590070899057571,5.601834337169442,8000
23,23000.0,3.8151501185194445e+17,-0.048135078328987384,5.601449256542811,8000
24,24000.0,4.3469589229191245e+17,-0.05036963183895679,5.601046299488099,8000
25,25000.0,4.926017280828795e+17,-0.052604347419896995,5.60062546470874,8000
26,26000.0,5.554335811546753e+17,-0.05483920637131137,5.60018675105777,8000
27,27000.0,6.233925134371297e+17,-0.057074192763147256,5.5997301575156655,8000
28,28000.0,6.966795868600724e+17,-0.05930929294107373,5.599255683172136,8000
29,29000.0,7.754958633533332e+17,-0.06154449513411595,5.5987633272110635,8000
30,30000.0,8.600424048467418e+17,-0.06377978914076231,5.598253088897937,8000
31,31000.0,9.505202732701279e+17,-0.06601516607582533,5.59772496756933,8000
32,32000.0,1.0471305305533212e+18,-0.06825061816476592,5.597178962624012,8000
33,33000.0,1.1500742386261516e+18,-0.07048613857541343,5.596615073515409,8000
34,34000.0,1.2595524594184486e+18,-0.07272172127938194,5.596033299745174,8000
35,35000.0,1.3757662548600422e+18,-0.07495736093724391,5.595433640857675,8000
36,36000.0,1.498916686880762e+18,-0.07719305280284158,5.594816096435253,8000
37,37000.0,1.6292048174104381e+18,-0.07942879264311532,5.5941806660941085,8000
38,38000.0,1.7668317083788997e+18,-0.08166457667059064,5.593527349480744,8000
39,39000.0,1.911998421715977e+18,-0.0839004014862521,5.592856146268853,8000
40,40000.0,2.0649060193514993e+18,-0.08613626403098568,5.5921670561566055,8000
41,41000.0,2.2257555632152968e+18,-0.08837216154412764,5.5914600788642534,8000
42,42000.0,2.394748115237199e+18,-0.09060809152793443,5.59073521413203,8000
43,43000.0,2.5720847373470356e+18,-0.0928440517170109,5.5899924617182934,8000
44,44000.0,2.757966491474637e+18,-0.09508004005190686,5.5892318213978776,8000
45,45000.0,2.9525944395498317e+18,-0.09731605465623427,5.588453292960628,8000
46,46000.0,3.15616964350245e+18,-0.09955209381676938,5.587656876210094,8000
47,47000.0,3.368893165262322e+18,-0.10178815596609468,5.586842570962365,8000
48,48000.0,3.5909660667592776e+18,-0.10402423966741078,5.586010377045026,8000
49,49000.0,3.8225894099231457e+18,-0.10626034360120803,5.585160294296216,8000
50,50000.0,4.0639642566837565e+18,-0.10849646655353758,5.584292322563788,8000
51,51000.0,4.31529166897094e+18,-0.11073260740566221,5.583406461704542,8000
52,52000.0,4.5767727087145257e+18,-0.11296876512490146,5.582502711583543,8000
53,53000.0,4.848608437844344e+18,-0.115204938756513,5.581581072073491,8000
54,54000.0,5.130999918290223e+18,-0.11744112741647611,5.580641543054159,8000
55,55000.0,5.424148211981994e+18,-0.11967733028506253,5.579684124411878,8000
56,56000.0,5.728254380849486e+18,-0.12191354660109606,5.57870881603907,8000
57,57000.0,6.043519486822529e+18,-0.12414977565681626,5.577715617833816,8000
58,58000.0,6.370144591830953e+18,-0.12638601679327385,5.5767045296994695,8000
59,59000.0,6.708330757804587e+18,-0.12862226939619406,5.5756755515443,8000
60,60000.0,7.058279046673262e+18,-0.13085853289225374,5.574628683281162,8000
61,61000.0,7.420190520366806e+18,-0.13309480674572471,5.573563924827196,8000
62,62000.0,7.79426624081505e+18,-0.13533109045544195,5.572481276103553,8000
63,63000.0,8.180707269947823e+18,-0.13756738355206036,5.5713807370351365,8000
