,Radius,Mass,Gravity,Pressure,Density
0,0.0,0.0,0.0,5.093015505274072,5171
1,1000.0,0.0,-0.0,5.093015505274072,5171
2,2000.0,64980702446851.28,-0.0010842517558525488,5.093009898608242,5171
3,3000.0,324903512234256.4,-0.0024094483463389968,5.092997439350843,5171
4,4000.0,909729834255917.9,-0.00379488114548392,5.09297781602044,5171
5,5000.0,1949421073405538.5,-0.005204408428092234,5.092950904024459,5171
6,6000.0,3573938634576820.5,-0.006625982952432242,5.092916641066612,5171
7,7000.0,5913243922663466.0,-0.008054441614904647,5.092874991549022,5171
8,8000.0,9097298342559180.0,-0.009487202863709802,5.092825933223014,5171
9,9000.0,1.3256063299157662e+16,-0.010922832503403453,5.092769451256139,5171
10,10000.0,1.8519500197352616e+16,-0.012360470016719057,5.092705535265682,5171
11,11000.0,2.5017570442037744e+16,-0.013799567801759711,5.09263417770058,5171
12,12000.0,3.2880235438106748e+16,-0.015239760790594154,5.0925553728975315,5171
13,13000.0,4.223745659045333e+16,-0.01668079624388536,5.092469116500155,5171
14,14000.0,5.32191953039712e+16,-0.018122493633535457,5.092375405085575,5171
15,15000.0,6.595541298355405e+16,-0.019564720572272654,5.092274235915496,5171
16,16000.0,8.057607103409558e+16,-0.021007377769643128,5.092165606765049,5171
17,17000.0,9.72111308604895e+16,-0.02245038929765277,5.092049515801991,5171
18,18000.0,1.1599055386762952e+17,-0.023893696101195048,5.091925961499451,5171
19,19000.0,1.3704430146040934e+17,-0.02533725155781745,5.091794942571646,5171
20,20000.0,1.6050233504372266e+17,-0.02678101836955795,5.091656457925656,5171
21,21000.0,1.8649461602246317e+17,-0.028224966342828253,5.091510506624697,5171
22,22000.0,2.1515110580152458e+17,-0.029669070773783373,5.091357087859727,5171
23,23000.0,2.466017657858006e+17,-0.031113311254899224,5.091196200927228,5171
24,24000.0,2.8097655738018493e+17,-0.03255767077990569,5.091027845211625,5171
25,25000.0,3.1840544198957126e+17,-0.03400213506353592,5.090852020171211,5171
